memo,fec_committee_id
CONTRIBUTION TO ACTBLUE,C00401224
EARMARKED FOR DEMOCRATIC FEDERAL CAMPAIGN COMMITTEE OF ST. LOUIS CITY (C00233293),C00233239
EARKMARKED FOR ELIZABETH FOR MA EXPLORATORY COMMITTEE. HELD PURSUANT TO AO 2006-30,C00500843
EARMARKED FOR ELIZABETH WARREN DRAFT FUND. HELD PURSUANT TO AO 2006-30,C00500843
