memo,fec_committee_id
CONTRIBUTION TO ACTBLUE,C00401224
EARKMARKED FOR BRIAN SCHWEITZER DRAFT FUND. HELD PURSUANT TO AO 2006-30,C00566141
EARMARKED FOR CHC BOLD PAC/COMMITTEE FOR HISPANIC CAUSES BUILDING OUR LEADERSHIP DIVERSITY (C0036553,C00365536
EARMARKED FOR READY FOR HILLARY (C00540097),C00540997
EARMARKED FOR DR. JEAN L. ENRIGHT FOR CONGRESS (H4FL20056),C00549238
EARMARKED FOR FJETLAND FOR U.S. SENATE (),C00552497
EARMARKED FOR DEMOCRATIC FEDERAL CAMPAIGN COMMITTEE OF ST. LOUIS CITY (C00233293),C00233239
EARMARKED FOR TOM SPANGLER FOR CONGRESS (),C00556910
EARKMARKED FOR PROGRESSIVE CHANGE CAMPAIGN COMMITTEE. HELD PURSUANT TO AO 2006-30,C00458000
EARMARKED FOR SINNER FOR NORTH DAKOTA (),C00560441
EARMARKED FOR JACK TRAMMELL FOR CONGRESS (),C00565218
EARMARKED FOR DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE (C00000935,C00000935
