memo,fec_committee_id
CONTRIBUTION TO ACTBLUE,C00401224
EARMARKED FOR CHC BOLD PAC/COMMITTEE FOR HISPANIC CAUSES BUILDING OUR LEADERSHIP DIVERSITY (C0036553,C00365536
EARMARKED FOR NAVAJO COUNTY NATIVE ORGANIZING FUND A PROJECT OF THE ARIZONA DEMOCRATIC PARTY (C00166,C00166710
EARMARKED FOR SACRAMENTO COUNTY DEMOCRATIC CENTRAL COMMITTEE: UNITED CAMPAIGN COMMITTEE-FEDERAL (C00,C00274423
EARMARKED FOR BETTER ORGANIZING TO WIN LEGALIZATION POLITICAL ACTION COMMITTEE (BOWL PAC) (C00803585,C00803585
EARMARKED FOR ASIAN AMERICAN PACIFIC ISLANDER COALITION AGAINST HATE POLITICAL ACTION COMMITTEE (C00,C00776112
EARMARKED FOR INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL,C00000885
EARMARKED FOR VICTORY INCLUDES ACCOUNTABILITY BELIEVABILITY LEADERSHIP AND ELECTABILITY PAC (VIABLE,C00853119
EARMARKED FOR JUSTIN DUES CAMPAIGN ACCOUNT (H4NC08116),C00887455
EARKMARKED FOR 314 ACTION FUND. HELD PURSUANT TO AO 2006-30,C00633248
CONTRIBUTION,C00694323
"NO DEMOCRATIC NOMINEE IN AL-05, NC-03, TX-01,TX-19;FUNDS REVERTED TO ACTBLUE",C00401224
NO DEMOCRATIC NOMINEE;FUNDS REVERTED TO ACTBLUE,C00401224
NO DEMOCRATIC NOMINEE KY-04/KY-05; FUNDS REVERTED TO ACTBLUE,C00401224
NO DEMOCRATIC NOMINEE OK-03; FUNDS REVERTED TO ACTBLUE,C00401224
BANK ACCOUNT INTEREST,C00401224
INVESTMENT SALE,C00401224
