memo,fec_committee_id
CONTRIBUTION TO ACTBLUE,C00401224
EARMARKED FOR CHC BOLD PAC/COMMITTEE FOR HISPANIC CAUSES BUILDING OUR LEADERSHIP DIVERSITY (C0036553,C00365536
EARKMARKED FOR DONNA EDWARDS FOR SENATE. HELD PURSUANT TO AO 2006-30,C00574145
EARMARKED FOR MARIA GUTZEIT FOR CONGRES (),C00578062
"EARMARKED FOR LATINO LEADERS FOR EQUALITY, GROWTH, OPPORTUNITY, PROGRESSIVE ACTION AND CHANGE (C0057",C00576975
EARKMARKED FOR ZEPHYR TEACHOUT FOR CONGRESS. HELD PURSUANT TO AO 2006-30,C00608174
EARMARKED FOR GRAY FOR KENTUCKY (),C00608224
EARMARKED FOR NATIONAL CAMPAIGN TRAINING COMMITTEE PAC (),C00603084
EARMARKED FOR PATTY JUDGE FOR IOWA INC. (),C00612473
"EARMARKED FOR COMMITTEE TO ELECT MASSIE MUNROE, BS, MS, PE, CIVIL ENVIRONMENTAL ENGINEER TO THE US S",C00610410
EARMARKED FOR MICHIGAN DEMOCRATIC STATE CENTRAL COMMITEE - PHILADELPHIA CONVENTION 2016 FED (C000310,C00031054
EARMARKED FOR FRIENDS OF JOHN HAMILTON FOR CONGRESS (C00403287),C00623165
EARMARKED FOR DEMOCRATIC FEDERAL CAMPAIGN COMMITTEE OF ST. LOUIS CITY (C00233293),C00233239
